name,category,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein
pancakes,Junk Food,100g,230.7,9.6,2.1,59,437,28.8,0,0,6.4
cheeseburger,Junk Food,100g,275.8,14.3,7.1,48,591,19.5,1.2,3.6,15.3
mozzarella sticks,Junk Food,100g,329.4,18.4,6.8,36,863,25.5,2,2.3,14.6
potato chips,Junk Food,100g,541,33.9,3.4,0,526,54.1,3.2,0.3,6.4
cinnamon rolls,Junk Food,100g,334.6,11.1,3.2,0,774,54.3,1.4,21.5,4.3
bagels,Junk Food,100g,265.4,1.3,0.4,0,428,51.9,1.6,8.4,10.5
chicken nuggets,Junk Food,100g,313.4,20.1,3.6,54,584,15,0.9,0.1,16.1
fish and chips,Junk Food,100g,136.5,5,0.6,29,275,13.6,0.9,0.4,8.4
steak,Junk Food,100g,273.4,18.8,7.3,95,52,0,0,0,26
popcorn,Junk Food,100g,549.3,30.7,14.5,0,768,57,9.8,0.3,8.5
wings,Junk Food,100g,330.8,24.4,8.6,80,394,10,0.4,0.2,17
chocolate cake,Junk Food,100g,391.8,19.9,5.9,22,348,52.5,2.2,39.6,3.5
cupcakes,Junk Food,100g,379.2,20.3,6,21,341,52.2,2.2,40,3.5
french toast,Junk Food,100g,226,10.8,2.7,116,481,25.2,0,0,7.6
cheese fries,Junk Food,100g,287.5,21.2,11.7,58,402,8.5,0.4,0.3,13.6
calzone,Junk Food,100g,308.9,21.5,8.8,56,697,12.9,0.7,0.7,15.7
quesadilla,Junk Food,100g,377.1,23.2,11.6,51,706,23.9,1.7,2.2,15.8
pasta,Junk Food,100g,156,0.9,0.2,0,1,31.3,1.8,0.6,5.7
macaroni and cheese,Junk Food,100g,185.2,8.3,1.8,3,340,24.1,1.2,4.3,4.9
cheesecake,Junk Food,100g,314.5,22.6,9.9,55,440,25.5,0.4,21.8,5.5
breakfast burrito,Junk Food,100g,164.6,7.4,3.2,60,384,18.5,0.7,0.4,7.4
cereal,Junk Food,100g,386,6.8,1.5,0,495,71.9,9.2,4.3,12.2
pudding,Junk Food,100g,132.8,3.8,1,0,144,22.7,0,17.1,1.5
milkshake,Junk Food,100g,120.4,2.7,1.7,11,109,21.4,0.3,20.7,3
smoothie,Junk Food,100g,79.7,0.8,0.5,2,29,16.7,1.4,11.7,2.7
biscotti,Junk Food,100g,380.4,14.7,1.5,63,187,58.7,1.4,22.8,6.9
crepes,Junk Food,100g,166.8,8.2,4.5,103,183,16.3,0.5,0.1,5.9
churros,Junk Food,100g,404.3,29.9,1.9,0,171,31.8,0.7,18.5,1.9
samosas,Junk Food,100g,262.6,17.3,7.1,27,421,24.4,2.1,1.6,3.5
empanadas,Junk Food,100g,337,18.3,5.1,26,436,31.4,2,1.9,11.2
spaghetti,Junk Food,100g,154.1,0.6,0.1,0,4,30.6,1.3,1.1,5.3
lasagna,Junk Food,100g,157.7,8.5,4,42,407,9.2,1,2.9,11.4
chili cheese fries,Junk Food,100g,215.1,12.1,3.8,16,374,21.2,1.7,0.6,5.8
ribs,Junk Food,100g,361.3,30.9,9.2,103,91,0,0,0,21.1
bacon,Junk Food,100g,466.4,34.9,12,98,1674,1.7,0,0,34
sweet and sour chicken,Junk Food,100g,247.7,12.9,1.9,26,250,23.5,1,11.4,10.2
sloppy joes,Junk Food,100g,207.1,7.8,2.8,34,652,19.5,1.3,6.6,14
barbecue chicken,Junk Food,100g,167.3,4.9,1.3,53,351,11.9,0.3,9.8,17.9
pita bread,Junk Food,100g,281.1,1.2,0.2,0,540,55.4,2.2,1.3,9.1
egg rolls,Junk Food,100g,250.3,12.1,2.1,15,475,26.8,2.6,0,8.2
tater tots,Junk Food,100g,192.3,8.9,1.7,0,470,26.9,2,0.3,2.1
sweet potato fries,Junk Food,100g,284.6,20.2,1.6,0,193,23.3,3.1,5.8,1.5
corn dogs,Junk Food,100g,270.4,11,3,45,554,31.7,0,0,9.5
chicken fried steak,Junk Food,100g,174.3,9.5,3,39,194,10.9,0.3,0.7,12.1
jambalaya,Junk Food,100g,155.8,7.4,1.9,30,517,14.6,0.4,0.7,7.1
stir fry,Junk Food,100g,169.6,11.1,2.8,37,287,4.8,1.7,1.7,12.9
pad thai,Junk Food,100g,170.7,9,2.2,82,261,9.2,0.9,3.6,13
fettuccine alfredo,Junk Food,100g,254.8,15.8,9.4,43,188,22.9,1.3,0.8,6.1
sushi,Junk Food,100g,130.9,6.9,1.1,8,263,13.9,1.4,3.3,4.2
burrito bowl,Junk Food,100g,116.7,3.9,1.8,21,224,12.3,1.4,0.9,7.6
shawarma,Junk Food,100g,195.9,6.2,2,51,152,14.9,0.7,0.8,20
gyros,Junk Food,100g,184.4,10.1,4,41,479,10.9,0.9,1.7,12.2
pork belly,Junk Food,100g,531.4,52.8,19.2,72,32,0,0,0,9.4
chicken wings,Junk Food,100g,261.2,16.7,4.9,140,96,0,0,0,24
beef,Junk Food,100g,291.9,19.7,7.8,87,63,0,0,0,26.6
pork chops,Junk Food,100g,208.9,11,3.5,82,55,0,0,0,25.9
chicken fried rice,Junk Food,100g,159.9,6.8,1,60,201,13.7,0.5,0.5,10.3
fried rice,Junk Food,100g,174.5,2.9,0.5,17,393,32.4,1.1,0.6,4
chicken teriyaki,Junk Food,100g,153.6,5.5,1.5,61,737,2.8,0,2.5,21.5
meatloaf,Junk Food,100g,179.5,10.1,3.5,66,459,7.8,0.7,3.3,14.4
cornbread,Junk Food,100g,263.8,7.2,1.6,39,668,43.2,0,0,6.7
pulled pork,Junk Food,100g,173,4.5,1.4,35,658,18.4,1.2,15.3,13.2
pasta primavera,Junk Food,100g,106.9,2.9,1.6,6,287,16,1.4,1.6,4.3
rice pudding,Junk Food,100g,111.1,2.2,1.2,11,96,18.6,0.3,11.7,3.3
zucchini fries,Junk Food,100g,188.1,10.2,3.5,48,591,15.1,1.2,2.3,8.4
onion rings,Junk Food,100g,353.2,19.6,3.4,0,703,40.8,2.6,4.7,4.8
potato skins,Junk Food,100g,331.6,25.8,8.6,44,622,15.4,2.5,0.7,12.8
fritters,Junk Food,100g,264,18.7,3,7,12,19.5,2.8,3.9,4.2
jambalaya,Junk Food,100g,155.8,7.4,1.9,30,517,14.6,0.4,0.7,7.1
cheese curds,Junk Food,100g,397.4,33.8,18.7,97,643,3.1,0,0.5,22.9
vegetable tempura,Junk Food,100g,75.9,2.9,0.3,9,8,10.6,1.8,2.3,2.2
prawn crackers,Junk Food,100g,437.5,17.5,5.3,2,574,59.6,5.7,21.2,7.1
hot wings,Junk Food,100g,332,24.5,8.6,80,397,9.9,0.4,0.2,16.8
beef brisket,Junk Food,100g,323.5,24.9,9.4,94,65,0,0,0,25.7
fish tacos,Junk Food,100g,196,9.5,3.3,35,266,14.8,1.2,1.1,13.3
tuna salad,Junk Food,100g,181.9,9.1,1.5,13,406,9.3,0,0,16.1
caesar salad,Junk Food,100g,160.4,13.1,2.7,11,376,7.6,1.9,1.6,3.4
pasta salad,Junk Food,100g,204.4,12.3,2.9,11,355,17.2,1.5,1.5,6
stuffed peppers,Junk Food,100g,109.6,5.4,2.5,22,106,8,1,1.6,7.2
samosa,Junk Food,100g,260.8,17.4,7.1,27,426,24.2,2.1,1.6,3.5
chili,Junk Food,100g,118.7,7.2,2.3,20,414,6.2,0.5,1.1,7.5
goulash,Junk Food,100g,106.5,3.9,1.4,17,444,10.3,1.6,1.8,7.6
bangers,Junk Food,100g,346,27.7,10.1,57,744,4.3,0.1,1.9,19.2
fish,Junk Food,100g,129.2,2.7,0.9,56,57,0,0,0,26
ratatouille,Junk Food,100g,58.3,3.3,0.5,0,37,7.4,2.1,2.7,1
potato salad,Junk Food,100g,142.9,8.1,1.4,67,539,11.3,1.3,0,2.7
tuna melt,Junk Food,100g,228.9,10.8,3.4,19,460,18.2,0.6,1.4,15
pasta,Junk Food,100g,156,0.9,0.2,0,1,31.3,1.8,0.6,5.7
lamb,Junk Food,100g,301.2,20.5,8.8,98,71,0,0,0,24.4
banana split,Junk Food,100g,192.5,9.2,3.5,16,38,26.1,1.9,15.9,3.1
crabcakes,Junk Food,100g,173,11.2,1.7,75,601,7.1,0.5,1.4,11.1
brisket,Junk Food,100g,289.3,18.3,7.3,107,47,0,0,0,29.1
chicken curry,Junk Food,100g,106.3,4.6,0.6,31,30,3.2,0.6,0.9,12.1
sweet potato casserole,Junk Food,100g,240.6,13.8,5,51,177,27.1,2,19.5,3
cabbage rolls,Junk Food,100g,88.5,3,1.2,11,138,11.4,1.6,2.9,4.1
taco salad,Junk Food,100g,153.2,8.5,3,17,392,14.2,3.5,1,7
chicken breast,Protein,100g,166.2,3.5,1,85,72,0,0,0,31
salmon,Protein,100g,208.7,12.1,2.4,63,61,0,0,0,22
tofu,Protein,100g,81.7,5.2,0.9,0,3,1.2,1,0.7,10
egg,Protein,100g,147,9.7,3.1,371,139,0.7,0,0.4,12.5
greek yogurt,Protein,100g,60.7,0.4,0.1,5,36,3.6,0,3.2,10.2
quinoa,Protein,100g,121.8,1.9,0.2,0,6,21,2.8,0.9,4.4
lentils,Protein,100g,116.2,0.4,0.1,0,239,19.7,8,1.8,8.9
chickpeas,Protein,100g,166.1,2.6,0.3,0,238,27.8,7.5,4.8,8.9
black beans,Protein,100g,132.5,0.5,0.1,0,1,23.9,8.8,0.3,8.8
almonds,Protein,100g,603.7,52.7,3.9,0,490,21.3,11.1,4.6,21
peanuts,Protein,100g,600.9,49.9,8.1,0,415,20.8,8.1,5,24.1
walnuts,Protein,100g,664.8,64.5,5.9,0,2,13.6,6.9,2.4,15.2
pumpkin seeds,Protein,100g,436,19.5,3.7,0,17,53.5,18.3,0,18.6
cottage cheese,Protein,100g,98.3,4.3,1.7,16,370,3.4,0,2.7,11.2
whey protein,Protein,100g,351,1.6,0.8,16,157,6.3,3.1,0,77.5
turkey breast,Protein,100g,147,2.1,0.6,80,97,0,0,0,30.1
beef,Protein,100g,291.9,19.7,7.8,87,63,0,0,0,26.6
pork loin,Protein,100g,193.6,8.7,2.8,81,46,0,0,0,26.5
duck breast,Protein,100g,207.5,10.9,3,135,85,0,0,0,24.5
hummus,Protein,100g,163.5,9.7,1.4,0,380,14.6,6,0,7.9
edamame,Protein,100g,120.8,5.2,0.6,0,5,8.8,5.2,2.2,11.9
tempeh,Protein,100g,196.8,11.5,3.4,0,14,7.7,0,0,19.7
scallops,Protein,100g,110.3,0.9,0.2,40,660,5.4,0,0,20.5
shrimp,Protein,100g,119,1.8,0.6,212,944,1.6,0,0,22.6
sardines,Protein,100g,208.1,11.4,1.5,143,309,0,0,0,24.4
crab,Protein,100g,80.9,0.7,0.2,95,400,0,0,0,17.8
greek yogurt,Protein,100g,60.7,0.4,0.1,5,36,3.6,0,3.2,10.2
seitan,Protein,100g,129.3,0.6,0.1,0,12,5.2,0.3,0,25
bacon,Protein,100g,466.4,34.9,12,98,1674,1.7,0,0,34
string cheese,Protein,100g,296.6,22.3,13.2,79,632,2.2,0,1,22.3
hard boiled eggs,Protein,100g,152.7,10.6,3.3,370,122,1.1,0,1.1,12.6
fish,Protein,100g,129.2,2.7,0.9,56,57,0,0,0,26
egg whites,Protein,100g,52.9,0.2,0,0,165,0.7,0,0.7,10.9
pistachios,Protein,100g,584,44.9,5.7,0,432,27.2,10,7.1,21.5
sunflower seeds,Protein,100g,554.7,50.7,5.2,0,5910,15.5,8.8,2.7,19.4
carrot,Vegetable,100g,34,0.2,0,0,57,8.3,3,3.4,0.8
broccoli,Vegetable,100g,35,0.4,0.1,0,41,7.3,3.3,1.4,2.4
spinach,Vegetable,100g,23.3,0.3,0,0,69,3.8,2.4,0.4,2.9
potato,Vegetable,100g,92.7,0.1,0,0,10,21,2.2,1.2,2.5
tomato,Vegetable,100g,18.2,0.2,0,0,4,3.9,1.2,2.6,0.9
onion,Vegetable,100g,44.7,0.2,0,0,2,10.1,1.4,4.7,1.4
cucumber,Vegetable,100g,15.3,0.1,0,0,1,3.7,0.5,1.7,0.6
bell pepper,Vegetable,100g,27.6,0.2,0,0,2,6.8,1.2,3.2,0.9
garlic,Vegetable,100g,144.8,0.7,0,0,16,32.5,2,1,6.4
cauliflower,Vegetable,100g,22.4,0.5,0.1,0,14,4.1,2.3,2.1,1.8
zucchini,Vegetable,100g,15.4,0.4,0.1,0,2,2.7,1,1.7,1.1
eggplant,Vegetable,100g,34.7,0.2,0,0,0,8.7,2.5,3.2,0.8
asparagus,Vegetable,100g,21.4,0.2,0.1,0,14,4.2,2,1.3,2.4
lettuce,Vegetable,100g,17,0.3,0,0,7,3.3,2.1,1.2,1.2
